ID,firstName,middleName,firstLastName,secondLastName,address,phoneNumber
453041265,null,Patricia,Navarro,NULL,Calle 113 #79-86, Bogota,3270025086
69163759,Natalia,Patricia,Perez,Rojas,Calle 97 #22-85, Ibague,
357927117,Santiago,,Martinez,   Perez   
740831314,MIGUEL,Fernando,Silva,Lopez,Calle 71 #71-78, Barranquilla,3402677450
504434717,Santiago,Julian,Hernandez,Gutierrez,   Calle 76 #17-46, Cali   ,3462361417
537778906,Laura,Emilio,Martinez,Silva,Calle 15 #65-10, Bogota,3705605318
951784660,Paula,Emilio,Morales,Diaz,   Calle 19 #99-62, Bogota   ,3297370406
202892564,null,Fernanda,,Vargas,Calle 76 #14-43, Cali,3065965689
980904998,Natalia,Emilio,Navarro,Garcia,Calle 19 #77-84, Bogota,3601825231
182365595,Ana,Isabel,null,Silva,Calle 82 #50-24, Santa Marta,3779135556
899801999,Sofia,Julian,Ortega,,,3923217958
384124853,Daniela,Felipe,hernandez,Morales,Calle 80 #87-47, Barranquilla,   3270169447   
192980106,NULL,Emilio,Garcia,Jimenez,Calle 83 #92-93, Ibague,3838703726
1053662379,   Carolina   ,Fernanda,Morales,Ortiz,Calle 38 #94-2, Cartagena,3282964269
28438915,,Isabel,Rodriguez,Castro,Calle 87 #54-93, Santa Marta,3452729846
822780851,Jorge,Julian,Rojas,DIAZ,Calle 90 #46-16, Ibague,3310469468
750255354,Sebastian,Alejandro,Vargas,Lopez,Calle 96 #30-70, Santa Marta,3922907834
922763155,Daniela,Fernando,Rojas,Pinilla,Calle 9 #10-59, Ibague,3020567049
402703207,SANTIAGO,   Emilio   ,torres,Torres,Calle 35 #53-96, Pereira,3677321509
709539312,David,,Rojas,Lopez,,   3169642030   
708139756
728872460,Natalia,,Vargas,Gonzalez,Calle 94 #44-53, Bucaramanga,3466332602
910777766,Ana,Fernanda,   Gomez   ,Diaz,Calle 88 #12-81, Barranquilla,3434808681
760838241,Valentina,Eduardo,Navarro,Sanchez,Calle 30 #99-31, Manizales,null
224059358,Ana,Fernanda,Silva,Diaz,Calle 55 #33-20, Medellin,3128093419
665032937,ANA,Emilio,Silva,Pinilla
115203406,camila,Gabriela,Ortega,Diaz,Calle 18 #63-32, Bogota,3141984090
546556423,Jorge,Eduardo,Martinez,Alvarado,Calle 31 #76-4, Cartagena,3782288346
65237152,David,Patricia,Lopez,Pinilla,Calle 120 #51-2, Pereira,3993274682
1047972015,NULL,Felipe,Lopez,,   Calle 46 #22-83, Manizales   ,3927407952
667072962
528518842,DANIELA,null,Silva,Lopez,Calle 61 #2-61, Bucaramanga,3254969003
528138630,Laura,Mateo,Navarro,Ramirez,Calle 21 #57-38, Medellin,3847707322
960337786,null,Alejandro,Silva,Jimenez,Calle 88 #52-13, Ibague,   3065245667   
545797534,   Camila   ,Alejandro,Navarro,Torres,   Calle 54 #65-47, Cali   ,3515150561
613046973
894408719,Luis,Lucia,   Gomez   ,Morales,Calle 97 #67-37, Santa Marta,3113212655
198861742,Carolina,Mateo,Lopez,Ramirez,Calle 108 #77-83, Manizales,3671966427
37790183,,,Perez,Gomez,Calle 76 #90-27, Pereira,3058903424
152122369,NULL,Lucia,null,Vargas,Calle 100 #91-67, Cartagena,3567534153
774970894,Sebastian,Fernanda,Martinez,Gutierrez,Calle 13 #98-37, Ibague,
37010533,Laura,Fernanda,SILVA,Alvarado
506876769,Juan,Antonio,Martinez,Sanchez,null,3844548601
407388707,Luis,Emilio,Castro,Gomez,Calle 71 #40-43, Medellin,3255482758
